OBJECTID,HoodName,HoodID,F2021_Population_Projection,Assault_2014,Assault_2015,Assault_2016,Assault_2017,Assault_2018,Assault_2019,Assault_2020,Assault_2021,Assault_Rate2014,Assault_Rate2015,Assault_Rate2016,Assault_Rate2017,Assault_Rate2018,Assault_Rate2019,Assault_Rate2020,Assault_Rate2021,AutoTheft_2014,AutoTheft_2015,AutoTheft_2016,AutoTheft_2017,AutoTheft_2018,AutoTheft_2019,AutoTheft_2020,AutoTheft_2021,AutoTheft_Rate2014,AutoTheft_Rate2015,AutoTheft_Rate2016,AutoTheft_Rate2017,AutoTheft_Rate2018,AutoTheft_Rate2019,AutoTheft_Rate2020,AutoTheft_Rate2021,BreakAndEnter_2014,BreakAndEnter_2015,BreakAndEnter_2016,BreakAndEnter_2017,BreakAndEnter_2018,BreakAndEnter_2019,BreakAndEnter_2020,BreakAndEnter_2021,BreakAndEnter_Rate2014,BreakAndEnter_Rate2015,BreakAndEnter_Rate2016,BreakAndEnter_Rate2017,BreakAndEnter_Rate2018,BreakAndEnter_Rate2019,BreakAndEnter_Rate2020,BreakAndEnter_Rate2021,Robbery_2014,Robbery_2015,Robbery_2016,Robbery_2017,Robbery_2018,Robbery_2019,Robbery_2020,Robbery_2021,Robbery_Rate2014,RobberyRate_2015,Robbery_Rate2016,Robbery_Rate2017,Robbery_Rate2018,Robbery_Rate2019,Robbery_Rate2020,Robbery_Rate2021,TheftOver_2014,TheftOver_2015,TheftOver_2016,TheftOver_2017,TheftOver_2018,TheftOver_2019,TheftOver_2020,TheftOver_2021,TheftOver_Rate2014,TheftOver_Rate2015,TheftOver_Rate2016,TheftOver_Rate2017,TheftOver_Rate2018,TheftOver_Rate2019,TheftOver_Rate2020,TheftOver_Rate2021,Homicide_2014,Homicide_2015,Homicide_2016,Homicide_2017,Homicide_2018,Homicide_2019,Homicide_2020,Homicide_2021,Homicide_Rate2014,Homicide_Rate2015,Homicide_Rate2016,Homicide_Rate2017,Homicide_Rate2018,Homicide_Rate2019,Homicide_Rate2020,Homicide_Rate2021,Shootings_2014,Shootings_2015,Shootings_2016,Shootings_2017,Shootings_2018,Shootings_2019,Shootings_2020,Shootings_2021,Shooting_Rate2014,Shootings_Rate2015,Shootings_Rate2016,Shootings_Rate2017,Shootings_Rate2018,Shootings_Rate2019,Shootings_Rate2020,Shootings_Rate2021,TheftfromMotorVehicle_2014,TheftfromMotorVehicle_2015,TheftfromMotorVehicle_2016,TheftfromMotorVehicle_2017,TheftfromMotorVehicle_2018,TheftfromMotorVehicle_2019,TheftfromMotorVehicle_2020,TheftfromMotorVehicle_2021,TheftfromMotorVehicle_Rate2014,TheftfromMotorVehicle_Rate2015,TheftfromMotorVehicle_Rate2016,TheftfromMotorVehicle_Rate2017,TheftfromMotorVehicle_Rate2018,TheftfromMotorVehicle_Rate2019,TheftfromMotorVehicle_Rate2020,TheftfromMotorVehicle_Rate2021,Shape__Area,Shape__Length
11,Humewood-Cedarvale,106,16078,34,47,51,39,44,45,41,48,230.1029,317.5247,343.1109,258.2097,286.477,288.2767,258.6098,298.5446,11,5,17,21,22,16,25,32,74.44505,33.77922,114.3703,139.036,143.2385,102.4984,157.6889,199.0297,30,39,26,39,34,28,49,19,203.0319,263.4779,174.9193,258.2097,221.3686,179.3722,309.0703,118.1739,8,10,6,7,4,10,6,3,54.14185,67.55844,40.36599,46.34534,26.04336,64.0615,37.84534,18.65904,3,3,5,5,6,3,6,2,20.30319,20.26753,33.63832,33.10381,39.06504,19.21845,37.84534,12.43936,0,1,0,1,0,0,0,0,0,6.755844,0,6.620763,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.620763,0,0,0,0,82,60,38,34,59,48,62,37,554.954,405.3506,255.6512,225.1059,384.1396,307.4952,391.0685,230.1281254,3581875.4453125,8355.38406199276
12,Islington-City Centre West,014,52996,231,209,214,211,234,217,223,209,536.4483,473.279,470.6917,449.8742,483.1317,434.4953,433.1695,394.3694,91,101,136,96,159,173,151,171,211.3281,228.7138,299.1312,204.6821,328.2818,346.3949,293.3121,322.6659,111,143,105,96,119,125,99,118,257.7739,323.8224,230.9469,204.6821,245.6952,250.2853,192.304,222.6583,39,35,40,70,35,36,35,22,90.56919,79.25725,87.97977,149.2474,72.26328,72.08218,67.98624,41.51257,35,45,37,33,55,35,29,38,81.28004,101.9022,81.38128,70.35947,113.5566,70.07989,56.33146,71.70352,2,0,0,0,2,1,0,1,4.644573976,0,0,0,2.064665,2.002283,0,1.886934863,1,3,5,3,3,5,4,4,2.322287,6.793478,10.99747,6.396316,6.193996,10.01141,7.769857,7.547739452,211,227,151,157,180,191,219,168,490.0026,514.0399,332.1236,334.7405,371.6398,382.436,425.3997,317.005057,31025987.5078125,28076.3751797228
13,Danforth,066,10435,99,109,88,88,113,108,66,98,1001.011,1098.458,881.6752,873.6226,1111.002,1051.504,637.4964,939.1471,12,7,6,7,13,9,7,22,121.3347,70.54318,60.11422,69.49271,127.8144,87.62535,67.61325,210.8289,39,40,41,29,30,40,40,51,394.3377,403.1039,410.7805,287.8983,294.9562,389.446,386.3615,488.7398,19,22,26,35,38,26,19,13,192.1133,221.7071,260.4949,347.4635,373.6112,253.1399,183.5217,124.5807,3,5,4,3,5,4,2,6,30.33367,50.38799,40.07615,29.78259,49.15937,38.9446,19.31807,57.4988,0,0,0,1,0,0,0,0,0,0,0,9.927529,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9.927529,0,9.736151,0,0,47,66,20,16,32,59,60,53,475.2275,665.1215,200.3807,158.8405,314.62,574.4329,579.5422,507.9060853,2142491.4609375,8613.04822835878
14,Rustic,028,10886,51,69,83,67,73,68,61,72,498.3876,675.6095,811.8948,647.4681,696.3655,640.241,567.1253,661.4,7,18,10,13,14,38,21,16,68.40614,176.246,97.81864,125.6281,133.5496,357.7817,195.2399,146.9778,21,17,17,12,9,14,15,7,205.2184,166.4545,166.2917,115.9644,85.85329,131.8143,139.457,64.30277,15,15,9,6,8,5,8,6,146.5846,146.8716,88.03678,57.98222,76.31403,47.07655,74.37709,55.11666,1,1,3,1,2,1,5,0,9.772305,9.791442,29.34559,9.663703,19.07851,9.415309,46.48568,0,0,1,0,0,0,1,0,1,0,9.791442,0,0,9.539254,9.415309,0,9.186110601,4,7,8,2,7,7,6,4,39.08922,68.54009,78.25491,19.32741,66.77478,65.90717,55.78282,36.7444424,22,15,8,17,47,27,34,13,214.9907,146.8716,78.25491,164.283,448.3449,254.2133,316.1026,119.4194378,4015463.1953125,8151.85886814494
15,Scarborough Village,139,18369,161,153,191,149,179,174,181,121,936.1554,890.6741,1108.146,854.6028,1012.673,972.5016,999.1168,658.7185,20,15,9,21,20,20,23,26,116.2926,87.32099,52.21629,120.4474,113.1478,111.7818,126.9596,141.5428,50,48,34,32,45,40,28,22,290.7315,279.4272,197.2616,183.5389,254.5825,223.5636,154.5595,119.767,30,33,25,22,11,28,17,15,174.4389,192.1062,145.0453,126.183,62.23127,156.4945,93.8397,81.65932,3,2,2,4,4,2,7,6,17.44389,11.6428,11.60362,22.94236,22.62955,11.17818,38.63988,32.66373,1,0,6,1,0,0,1,0,5.814629608,0,34.81086,5.73559,0,0,5.519982,0,1,2,3,5,4,6,2,2,5.81463,11.6428,17.40543,28.67795,22.62955,33.53454,11.03996,10.88790898,56,24,35,46,53,56,90,62,325.6193,139.7136,203.0634,263.8371,299.8416,312.989,496.7984,337.5251783,6039850.734375,10973.2904769284
16,South Parkdale,085,24635,184,219,220,218,203,240,239,264,816.6888,969.0695,966.6081,944.0908,864.5287,1006.88,987.1138,1071.646,9,18,23,18,14,20,16,16,39.94674,79.64954,101.0545,77.95245,59.62267,83.90669,66.08293,64.94824,45,49,68,58,78,89,88,62,199.7337,216.8237,298.7698,251.1801,332.1835,373.3848,363.4561,251.6745,20,32,34,30,33,34,16,20,88.77053,141.5992,149.3849,129.9207,140.5392,142.6414,66.08293,81.1853,6,4,9,10,9,24,13,6,26.63116,17.6999,39.54306,43.30692,38.32886,100.688,53.69238,24.35559,0,0,1,0,0,1,0,0,0,0,4.393673,0,4.258762,4.195335,0,0,0,1,7,7,6,3,4,5,0,4.424974,30.75571,30.31484,25.55257,12.586,16.52073,20.29632636,76,43,48,83,44,54,40,50,337.328,190.2739,210.8963,359.4474,187.3855,226.5481,165.2073,202.9632636,4369529.76171875,14919.0220275913
17,South Riverdale,070,30603,206,200,228,233,292,250,211,224,735.4254,703.4822,788.6271,797.3172,987.5207,835.8129,698.0976,731.9544,19,23,27,37,39,38,39,48,67.8305,80.90046,93.39006,126.6126,131.8949,127.0436,129.0323,156.8474,88,98,149,93,91,132,144,137,314.1623,344.7063,515.3748,318.2425,307.7547,441.3092,476.4268,447.6685,55,42,45,66,34,35,35,32,196.3514,147.7313,155.6501,225.8495,114.9853,117.0138,115.7982,104.5649,18,17,22,25,23,21,22,21,64.26047,59.79599,76.0956,85.54906,77.78416,70.20828,72.78743,68.62072,1,0,3,5,2,0,0,3,3.570026061,0,10.37667,17.10981,0,0,0,9.802960494,2,0,7,9,4,6,3,1,7.140052,0,24.21224,30.79766,13.52768,20.05951,9.925558,3.267653498,207,148,148,120,164,158,138,124,738.9954,520.5768,511.9159,410.6355,554.6349,528.2338,456.5757,405.1890338,20956374.5820313,59560.0776813625
18,St.Andrew-Windfields,040,20631,55,46,56,46,60,69,51,53,299.2383,251.0917,305.8772,245.5822,312.7606,351.467,254.1106,256.895,18,27,10,15,23,40,30,62,97.93253,147.3799,54.62093,80.08115,119.8916,203.749,149.4768,300.5186,81,79,57,89,81,84,50,33,440.6964,431.2227,311.3393,475.1482,422.2269,427.8729,249.1281,159.9535,10,6,24,2,6,11,9,2,54.40696,32.75109,131.0902,10.67749,31.27606,56.03097,44.84305,9.69415,10,15,9,7,6,7,4,7,54.40696,81.87773,49.15884,37.3712,31.27606,35.65607,19.93024,33.92952,1,0,0,2,0,0,0,0,5.440696409,0,0,10.67749,0,0,0,0,1,0,2,0,1,1,1,0,5.440696,0,10.92419,0,5.212677,5.093725,4.982561,0,64,45,30,31,27,50,60,63,348.2046,245.6332,163.8628,165.501,140.7423,254.6862,298.9537,305.3657118,14001319.7148438,18025.9514708803
19,Taylor-Massey,061,16722,128,95,98,101,124,119,115,118,790.1722,587.2172,603.5598,618.8347,754.1661,719.7291,690.6492,705.6572,12,9,7,5,12,12,14,20,74.07864,55.6311,43.11141,30.63538,72.98383,72.57772,84.07903,119.6029,32,71,42,27,41,63,31,16,197.5431,438.8676,258.6685,165.431,249.3614,381.033,186.175,95.68233,24,42,17,18,17,14,27,10,148.1573,259.6118,104.6991,110.2874,103.3937,84.674,162.1524,59.80146,4,3,5,2,4,3,8,10,24.69288,18.5437,30.79387,12.25415,24.32794,18.14443,48.04516,59.80146,0,1,1,1,0,1,0,0,0,6.181234,6.158773,6.127076,6.081985,6.048143,0,0,2,0,2,3,1,2,3,1,12.34644,0,12.31755,18.38123,6.081985,12.09629,18.01694,5.980145916,31,49,35,39,30,49,58,54,191.3698,302.8805,215.5571,238.9559,182.4595,296.359,348.3274,322.9278794,2034692.375,8222.75123336805
20,Humber Summit,021,13657,88,99,124,121,121,124,102,112,685.1982,772.8337,969.1285,933.642,921.3432,932.3308,757.9135,820.0923,69,41,63,84,110,136,111,134,537.2576,320.0624,492.3798,648.1481,837.5847,1022.556,824.7882,981.1818,54,44,41,39,56,59,26,41,420.4625,343.4817,320.4377,300.9259,426.4068,443.609,193.1936,300.2123,25,29,24,27,34,28,26,14,194.6586,226.3856,187.5733,208.3333,258.8898,210.5263,193.1936,102.5115,15,16,18,18,15,22,23,29,116.7951,124.9024,140.6799,138.8889,114.2161,165.4135,170.9021,212.3453,0,1,0,2,1,3,0,0,0,7.806401,0,15.4321,22.84322,22.55639,0,0,1,6,15,9,5,8,5,3,7.786343,46.83841,117.2333,69.44444,38.07203,60.15038,37.15262,21.96675697,73,63,67,84,86,71,94,88,568.403,491.8033,523.642,648.1481,654.8389,533.8346,698.4693,644.3582046,15284359.125,17453.3475970464
21,Humbermede,022,16925,105,127,111,149,106,155,84,122,648.7087,789.4573,691.8043,918.3925,645.4756,933.6224,500.1786,720.8271,36,34,46,58,54,67,75,57,222.4144,211.3508,286.6937,357.4951,328.8272,403.5658,446.5881,336.7799,35,35,24,21,44,62,33,30,216.2363,217.567,149.5793,129.4379,267.9333,373.449,196.4987,177.2526,25,21,23,34,27,27,14,18,154.4545,130.5402,143.3468,209.5661,164.4136,162.631,83.36311,106.3515,1,9,1,7,10,8,10,13,6.178179,55.94579,6.232471,43.14596,60.89392,48.18697,59.54507,76.80946,0,0,1,1,0,0,0,1,0,0,6.232471,6.163708,0,0,0,5.908419498,2,8,4,6,5,4,6,5,12.35636,49.7296,24.92988,36.98225,30.44696,24.09348,35.72705,29.54209749,35,29,31,23,43,39,57,44,216.2363,180.2698,193.2066,141.7653,261.8439,234.9115,339.4069,259.9704579,8478375.24609375,17227.456461495
22,Centennial Scarborough,133,14868,52,38,49,47,46,49,46,36,381.6794,277.981,356.7268,336.628,323.8297,339.4057,313.5224,242.1308,9,7,5,8,10,21,10,22,66.05989,51.20702,36.4007,57.29838,70.39775,145.4596,68.15704,147.9688,13,15,18,23,16,29,8,5,95.41985,109.7293,131.0425,164.7328,112.6364,200.8728,54.52563,33.62927,9,4,11,7,6,1,3,6,66.05989,29.26116,80.08154,50.13609,42.23865,6.926647,20.44711,40.35513,1,1,1,4,2,3,1,2,7.339988,7.315289,7.28014,28.64919,14.07955,20.77994,6.815703,13.45171,0,0,0,1,0,0,0,0,0,0,0,7.162298,0,0,0,0,0,0,2,0,0,1,1,0,0,0,14.56028,0,0,6.926647,6.815703,0,35,12,47,44,29,33,40,36,256.8996,87.78347,342.1666,315.1411,204.1535,228.5793,272.6281,242.1307506,10497021.6523438,16683.6031730116
23,Church-Yonge Corridor,075,40804,537,551,594,749,809,909,767,966,1694.701,1712.563,1808.274,2178.339,2246.91,2416.461,1952.697,2367.415,33,27,26,27,73,56,31,74,104.1437,83.91869,79.15005,78.52489,202.7496,148.8689,78.92258,181.3548,148,155,146,199,202,309,242,255,467.0685,481.7555,444.458,578.7576,561.0332,821.4371,616.1053,624.9387,126,137,140,151,188,149,139,134,397.6394,425.8097,426.1926,439.1577,522.1497,396.0975,353.8787,328.3992,33,16,42,30,41,41,43,46,104.1437,49.7296,127.8578,87.24989,113.8731,108.9933,109.4733,112.734,1,2,3,1,2,1,0,0,3.155868337,6.216199,9.132698,2.908329,2.777392,2.658373,0,0,0,3,2,0,1,4,2,6,0,9.324299,6.088465,0,2.777392,10.63349,5.091779,14.70444074,286,225,208,278,231,343,256,173,902.5784,699.3224,633.2004,808.5156,641.5776,911.8218,651.7477,423.9780414,2609049.16796875,8785.45389225348
24,Clairlea-Birchmount,120,29881,244,252,235,243,281,287,184,223,905.2124,921.5916,843.8061,862.1301,983.4803,991.5014,627.9435,746.2936,43,27,47,37,46,67,51,50,159.5251,98.74195,168.7612,131.2708,160.9968,231.4655,174.0496,167.3304,129,116,87,102,65,65,60,56,478.5754,424.2247,312.3878,361.8818,227.4955,224.5561,204.7642,187.4101,46,42,43,56,27,35,30,9,170.6548,153.5986,154.3986,198.6802,94.49811,120.9148,102.3821,30.11947,4,15,18,7,12,14,6,15,14.83955,54.85664,64.63196,24.83502,41.99916,48.36592,20.47642,50.19912,0,2,1,0,3,1,1,2,0,7.314219,3.590664,0,3.49993,3.454709,3.412736,6.693216425,3,5,0,0,6,3,2,3,11.12966,18.28555,0,0,20.99958,10.36413,6.825473,10.03982464,100,96,109,103,140,128,109,139,370.9887,351.0825,391.3824,365.4297,489.9902,442.2027,371.9883,465.1785415,14168132.640625,22824.1069753447
